,steam-LBS,startDay,endDay,RH-%,T-C,Tdew-C,pressure-mbar,solarRadiation-W/m2,windDirection,windSpeed-m/s,humidityRatio-kg/kg,coolingDegrees,heatingDegrees,dehumidification,occupancy
2012-03-02,44944.7753906,2012-03-02,2012-03-03,81.375,-2.25,-5.04166666667,1011.20833333,75.125,252.5,3.90046608333,0.00261499443167,0.0,17.25,0.0,1.0
2012-03-03,29526.9856771,2012-03-03,2012-03-04,85.7916666667,4.79166666667,2.45833333333,993.666666667,20.4583333333,192.916666667,4.305559,0.00465464309233,0.0,10.2083333333,0.0,0.5
2012-03-04,31524.6728516,2012-03-04,2012-03-05,51.9583333333,3.58333333333,-5.5,994.416666667,61.9583333333,267.5,3.58796583333,0.00256746776115,0.0,11.4166666667,0.0,0.5
2012-03-05,40094.6858724,2012-03-05,2012-03-06,41.875,0.0833333333333,-10.6083333333,1005.45833333,210.958333333,290.833333333,6.22685683333,0.00158301890449,0.0,14.9166666667,0.0,1.0
2012-03-06,39756.311849,2012-03-06,2012-03-07,33.75,-1.58333333333,-14.4125,1024.16666667,216.041666667,293.333333333,5.33565241667,0.00106609896926,0.0,16.5833333333,0.0,1.0
2012-03-07,23226.4290365,2012-03-07,2012-03-08,51.2083333333,8.20833333333,-1.825,1020.625,207.75,213.75,6.67824608333,0.00334185112354,0.791666666667,6.91666666667,0.0,1.0
2012-03-08,10652.9264323,2012-03-08,2012-03-09,60.0833333333,14.625,6.67083333333,1008.5,112.791666667,215.833333333,10.0810265833,0.00612817623815,3.0,1.54166666667,0.0,1.0
2012-03-09,,2012-03-09,2012-03-10,47.0416666667,7.08333333333,-4.02083333333,1006.58333333,184.75,264.583333333,5.68287491667,0.00309438887716,0.375,7.95833333333,0.0,1.0
2012-03-10,31846.7366536,2012-03-10,2012-03-11,57.125,1.29166666667,-6.41666666667,1020.0,169.125,199.166666667,5.03472625,0.00232833090508,0.0,13.7083333333,0.0,0.4
2012-03-11,,2012-03-11,2012-03-12,44.8333333333,6.95833333333,-5.125,1019.875,217.083333333,221.25,6.48148666667,0.00256206016469,0.291666666667,8.04166666667,0.0,0.4
