,Site_EUI,pos,,,,,,,,,
192,126.7," -71.0723419230769,42.3367708461538",,,,,,,,,
193,210," -71.0858555686186,42.3461604524361",,,,,,,,,
194,198.2," -71.0644307708333,42.3511504895833",,,,,,,,,
195,0," -71.0595677,42.3604823",,,,,,,,,
196,76.6," -71.0510155,42.3506088",,,,,,,,,
197,0," -71.0595677,42.3604823",,,,,,,,,
198,263," -71.0490896741726,42.37858565",,,,,,,,,
199,92," -71.0618463325814,42.3623252607249",,,,,,,,,
200,81.8," -71.0772380318662,42.3511169629304",,,,,,,,,
201,67.6," -71.0510155,42.3506088",,,,,,,,,
202,174.3," -71.1064048,42.3501002",,,,,,,,,
203,42.9," -71.1064048,42.3501002",,,,,,,,,
204,186.8," -71.1154282,42.3513867",,,,,,,,,
205,67.9," -71.1064048,42.3501002",,,,,,,,,
206,0.3," -71.1249395,42.3533562",,,,,,,,,
207,91.7," -71.11727467438,42.2678388176484",,,,,,,,,
208,102.8," -71.0961315,42.3490383",,,,,,,,,
209,423.2," -71.1064048,42.3501002",,,,,,,,,
210,83.3," -71.1042186,42.3492641",,,,,,,,,
211,156.8," -71.10899,42.3508927",,,,,,,,,
212,90.8," -71.1120632773166,42.350496778699",,,,,,,,,
213,130," -71.099723,42.3488848",,,,,,,,,
214,85.7," -71.0976397501434,42.3502857830947",,,,,,,,,
215,75.6," -71.1207877420238,42.353505356706",,,,,,,,,
216,51.9," -71.1156834,42.3522328",,,,,,,,,
217,105," -71.099146,42.35014",,,,,,,,,
218,155.7," -71.1116058496039,42.3504426801054",,,,,,,,,
219,155.2," -71.1238443195576,42.3541003064668",,,,,,,,,
220,280.5," -71.1065724,42.3500102",,,,,,,,,
221,98.2," -71.117708171708,42.352225",,,,,,,,,
222,29.7," -71.1016222287932,42.350531860851",,,,,,,,,
223,208.1," -71.1155588845808,42.3515917808921",,,,,,,,,
224,226.9," -71.1041666795859,42.3478073119559",,,,,,,,,
225,95.9," -71.1064048,42.3501002",,,,,,,,,
226,90.6," -71.1059622077528,42.348133814052",,,,,,,,,
227,66.6," -71.104594,42.347686",,,,,,,,,
228,93.5," -71.0903216,42.350867",,,,,,,,,
229,97.7," -71.1236146,42.354458",,,,,,,,,
230,127.4," -71.10434728125,42.34671178125",,,,,,,,,
231,129.2," -71.1164827023379,42.35176125",,,,,,,,,
232,91.2," -71.0969244,42.3502982",,,,,,,,,
233,132.5," -71.1061564341796,42.3472680200808",,,,,,,,,
234,133.7," -71.1095197699561,42.3501875611713",,,,,,,,,
235,177.5," -71.097794,42.350048",,,,,,,,,
236,71.8," -71.1210369,42.3528916",,,,,,,,,
237,0," -71.0595677,42.3604823",,,,,,,,,
238,50.1," -71.054654,42.357315",,,,,,,,,
239,83.9," -71.1175401823351,42.2682759432248",,,,,,,,,
240,78.9," -71.1176229453192,42.2526359256126",,,,,,,,,
241,0," -71.0595677,42.3604823",,,,,,,,,
242,0," -71.0595677,42.3604823",,,,,,,,,
243,117.8," -71.0565675,42.3546885",,,,,,,,,
244,74.7," -71.059695,42.352437",,,,,,,,,
245,147.3," -71.10734136,42.33875176",,,,,,,,,
246,40.8," -71.0657279,42.3475844",,,,,,,,,
247,108.8," -71.1567416176471,42.3490163235294",,,,,,,,,
248,87," -71.065325972973,42.3510039189189",,,,,,,,,
249,73.4," -71.0926912,42.3469348",,,,,,,,,
250,53.8," -71.0595677,42.3604823",,,,,,,,,
251,35.2," -71.0811192,42.3327667",,,,,,,,,
252,276.4," -71.1429878571429,42.3442547142857",,,,,,,,,
253,0," -71.0595677,42.3604823",,,,,,,,,
254,0," -71.0595677,42.3604823",,,,,,,,,
255,72.3," -71.0514927986113,42.35422345",,,,,,,,,
256,93.1," -71.0978006,42.3262952",,,,,,,,,
257,192.4," -71.0917602874995,42.34078345",,,,,,,,,
258,118.5," -71.0616553030303,42.3636323232323",,,,,,,,,
259,71," -71.0889134631154,42.340726",,,,,,,,,
260,43.9," -71.0859518964427,42.3369344",,,,,,,,,
261,80.8," -71.0978006,42.3262952",,,,,,,,,
262,67.9," -71.0978006,42.3262952",,,,,,,,,
263,56.8," -71.1254103673469,42.3662032857143",,,,,,,,,
264,121.8," -71.0728150169942,42.3492877341597",,,,,,,,,
265,59.8," -71.0984208211674,42.3440925",,,,,,,,,
266,131.9," -71.101284,42.3443563",,,,,,,,,
267,90.6," -71.0766369,42.307077",,,,,,,,,
268,215.3," -71.1483211,42.3490055",,,,,,,,,
269,191.8," -71.0655007,42.2774332",,,,,,,,,
270,64.6," -71.0453144648785,42.35323325",,,,,,,,,
271,96.1," -71.109701,42.331562",,,,,,,,,
272,58.6," -71.0488788102574,42.3523413435497",,,,,,,,,
273,103.7," -71.0592058806694,42.3592916348452",,,,,,,,,
274,114.5," -71.0684689,42.3668958",,,,,,,,,
275,0," -71.0595677,42.3604823",,,,,,,,,
276,53.3," -71.0599728907442,42.3636573194662",,,,,,,,,
277,46.6," -71.054215,42.311984",,,,,,,,,
278,0," -71.0595677,42.3604823",,,,,,,,,
279,11.2," -71.0812989,42.3403118",,,,,,,,,
280,91," -71.0720409310345,42.348875",,,,,,,,,
281,184.4," -71.1341297444351,42.3651799566775",,,,,,,,,
282,51," -71.128749,42.25983",,,,,,,,,
283,60.4," -71.0510155,42.3506088",,,,,,,,,
284,64.3," -71.0510155,42.3506088",,,,,,,,,
285,284.8," -71.0938963043119,42.3394576",,,,,,,,,
286,43.3," -71.0975208766791,42.338613",,,,,,,,,
287,6.4," -71.095208,42.338222",,,,,,,,,
288,0," -71.0595677,42.3604823",,,,,,,,,
289,34.3," -71.0582193047619,42.3513729095238",,,,,,,,,
290,0," -71.0595677,42.3604823",,,,,,,,,
291,82.3," -71.1016251680224,42.3321810486765",,,,,,,,,
292,105.6," -71.0566106326531,42.354852755102",,,,,,,,,
293,66.5," -71.0499988107067,42.3485342974303",,,,,,,,,
294,98.5," -71.0786321,42.3483133",,,,,,,,,
295,77.5," -71.0541859,42.3593344",,,,,,,,,
296,46.4," -71.0546637150629,42.3026666228107",,,,,,,,,
297,53.4," -71.0502081,42.3513272",,,,,,,,,
298,66.4," -71.05016,42.348328",,,,,,,,,
299,77.6," -71.0742512702703,42.3468064324324",,,,,,,,,
300,0," -71.0595677,42.3604823",,,,,,,,,
301,55.4," -71.0564302234137,42.3564253246863",,,,,,,,,
302,72.6," -71.0616417575758,42.3636294747475",,,,,,,,,
303,141.7," -71.0563264166667,42.35388725",,,,,,,,,
304,99," -71.0481075,42.3505181666667",,,,,,,,,
305,33.5," -71.0510155,42.3506088",,,,,,,,,
306,147.4," -71.0511476938776,42.363200877551",,,,,,,,,
307,100.6," -71.0501026938775,42.3579400612245",,,,,,,,,
308,55.6," -71.1302824,42.2978789",,,,,,,,,
309,129," -71.1078375,42.3391375454545",,,,,,,,,
310,60.5," -71.05212675,42.344586",,,,,,,,,
311,91.1," -71.0467686538461,42.3140462307692",,,,,,,,,
312,52.6," -71.056972882353,42.3569150882353",,,,,,,,,
313,74.8," -71.071331,42.3469532580645",,,,,,,,,
314,79.6," -71.0565163,42.3510033",,,,,,,,,
315,110.7," -71.0576256666667,42.3503146231884",,,,,,,,,
316,4.2," -71.057425,42.367629",,,,,,,,,
317,0," -71.0595677,42.3604823",,,,,,,,,
